province,year,value
Castello,2008,6458
Ciudad Real,2008,4259
Cordoba,2008,3189
A Coruna,2008,6645
Cuenca,2008,3401
Gipuzkoa,2008,6001
Girona,2008,15638
Granada,2008,6995
Guadalajara,2008,3323
Huelva,2008,4307
Huesca,2008,2896
Jaen,2008,2432
Leon,2008,3084
Lleida,2008,8385
Lugo,2008,2459
Madrid,2008,111273
Malaga,2008,23397
Murcia,2008,18598
Navarra,2008,7826
Ourense,2008,2079
Palencia,2008,1015
Las Palmas,2008,15397
Pontevedra,2008,5675
La Rioja,2008,4055
Salamanca,2008,2918
Santa Cruz de Tenerife,2008,14808
Segovia,2008,1772
Sevilla,2008,10011
Soria,2008,1069
Tarragona,2008,12852
Teruel,2008,2567
Toledo,2008,7857
Valencia,2008,27214
Valladolid,2008,3446
Zamora,2008,965
Zaragoza,2008,15608
Ceuta,2008,438
Melilla,2008,761
Albacete,2009,2234
Alacant,2009,20175
Almeria,2009,9903
Araba,2009,2174
Asturias,2009,5022
Avila,2009,1023
Badajoz,2009,2201
Illes Balears,2009,14657
Barcelona,2009,59456
Bizkaia,2009,5534
Burgos,2009,1970
Caceres,2009,1137
Cadiz,2009,3593
Cantabria,2009,3747
Castello,2009,5015
Ciudad Real,2009,3254
Cordoba,2009,2081
A Coruna,2009,4131
Cuenca,2009,2234
Gipuzkoa,2009,3971
Girona,2009,10218
Granada,2009,4835
Guadalajara,2009,2185
Huelva,2009,3768
Huesca,2009,1582
Jaen,2009,1842
Leon,2009,1842
Lleida,2009,5220
Lugo,2009,1412
Madrid,2009,69391
Malaga,2009,16803
Murcia,2009,11604
Navarra,2009,4765
Ourense,2009,1834
Palencia,2009,644
Las Palmas,2009,10827
Pontevedra,2009,3579
La Rioja,2009,2597
Salamanca,2009,1914
Santa Cruz de Tenerife,2009,9754
Segovia,2009,1268
Sevilla,2009,7436
Soria,2009,676
Tarragona,2009,8168
Teruel,2009,1117
Toledo,2009,4584
Valencia,2009,18054
Valladolid,2009,2343
Zamora,2009,584
Zaragoza,2009,8188
Ceuta,2009,437
Melilla,2009,626
Albacete,2010,1761
Alacant,2010,19881
Almeria,2010,8291
Araba,2010,2076
Asturias,2010,4698
Avila,2010,809
Badajoz,2010,1884
Illes Balears,2010,11263
Barcelona,2010,60165
Bizkaia,2010,5377
Burgos,2010,1877
Caceres,2010,1012
Cadiz,2010,3402
Cantabria,2010,2777
Castello,2010,4252
Ciudad Real,2010,2618
Cordoba,2010,2110
A Coruna,2010,3873
Cuenca,2010,2014
Gipuzkoa,2010,3882
Girona,2010,9250
Granada,2010,4115
Guadalajara,2010,1938
Huelva,2010,3931
Huesca,2010,1575
Jaen,2010,1436
Leon,2010,1558
Lleida,2010,4695
Lugo,2010,1359
Madrid,2010,56824
Malaga,2010,16979
Murcia,2010,8519
Navarra,2010,4117
Ourense,2010,1574
Palencia,2010,546
Las Palmas,2010,10177
Pontevedra,2010,3252
La Rioja,2010,2862
Salamanca,2010,1751
Santa Cruz de Tenerife,2010,9845
Segovia,2010,1137
Sevilla,2010,6442
Soria,2010,613
Tarragona,2010,7415
Teruel,2010,891
Toledo,2010,4042
Valencia,2010,19773
Valladolid,2010,2215
Zamora,2010,621
Zaragoza,2010,7061
Ceuta,2010,646
Melilla,2010,648
Albacete,2011,1772
Alacant,2011,21683
Almeria,2011,7492
Araba,2011,1893
Asturias,2011,4602
Avila,2011,671
Badajoz,2011,1956
Illes Balears,2011,12150
Barcelona,2011,61920
Bizkaia,2011,5763
Burgos,2011,1940
Caceres,2011,899
Cadiz,2011,3346
Cantabria,2011,2805
Castello,2011,3898
Ciudad Real,2011,2367
Cordoba,2011,1818
A Coruna,2011,4197
Cuenca,2011,1496
Gipuzkoa,2011,3972
Girona,2011,9635
Granada,2011,3704
Guadalajara,2011,1916
Huelva,2011,3311
Huesca,2011,1478
Jaen,2011,1541
Leon,2011,1673
Lleida,2011,4503
Lugo,2011,1216
Madrid,2011,62494
Malaga,2011,17118
Murcia,2011,8454
Navarra,2011,4318
Ourense,2011,1593
Palencia,2011,526
Las Palmas,2011,11154
Pontevedra,2011,3243
La Rioja,2011,2478
Salamanca,2011,1483
Santa Cruz de Tenerife,2011,10277
Segovia,2011,1045
Sevilla,2011,7561
Soria,2011,483
Tarragona,2011,7036
Teruel,2011,642
Toledo,2011,3911
Valencia,2011,19265
Valladolid,2011,2089
Zamora,2011,662
Zaragoza,2011,6799
Ceuta,2011,756
Melilla,2011,770
Albacete,2012,1195
Alacant,2012,19057
Almeria,2012,5959
Araba,2012,1484
Asturias,2012,3406
Avila,2012,587
Badajoz,2012,1363
Illes Balears,2012,11465
Barcelona,2012,51203
Bizkaia,2012,4105
Burgos,2012,1363
Caceres,2012,672
Cadiz,2012,2945
Cantabria,2012,2088
Castello,2012,2950
Ciudad Real,2012,1505
Cordoba,2012,1494
A Coruna,2012,2979
Cuenca,2012,910
Gipuzkoa,2012,3217
Girona,2012,7305
Granada,2012,3020
Guadalajara,2012,1313
Huelva,2012,2758
Huesca,2012,1076
Jaen,2012,1239
Leon,2012,1249
Lleida,2012,3066
Lugo,2012,937
Madrid,2012,51727
Malaga,2012,15909
Murcia,2012,6962
Navarra,2012,3313
Ourense,2012,1239
Palencia,2012,361
Las Palmas,2012,9702
Pontevedra,2012,2246
La Rioja,2012,1548
Salamanca,2012,1332
Santa Cruz de Tenerife,2012,11169
Segovia,2012,636
Sevilla,2012,5986
Soria,2012,319
Tarragona,2012,5115
Teruel,2012,559
Toledo,2012,2400
Valencia,2012,13597
Valladolid,2012,1377
Zamora,2012,419
Zaragoza,2012,4616
Ceuta,2012,272
Melilla,2012,731
Albacete,2013,1075
Alacant,2013,19922
Almeria,2013,5286
Araba,2013,1431
Asturias,2013,2804
Avila,2013,540
Badajoz,2013,1220
Illes Balears,2013,11091
Barcelona,2013,47353
Bizkaia,2013,3523
Burgos,2013,1185
Caceres,2013,644
Cadiz,2013,2687
Cantabria,2013,1674
Castello,2013,2581
Ciudad Real,2013,1318
Cordoba,2013,1513
A Coruna,2013,2655
Cuenca,2013,616
Gipuzkoa,2013,3037
Girona,2013,6677
Granada,2013,3035
Guadalajara,2013,1126
Huelva,2013,2221
Huesca,2013,1052
Jaen,2013,1156
Leon,2013,1015
Lleida,2013,2651
Lugo,2013,801
Madrid,2013,46915
Malaga,2013,13978
Murcia,2013,6616
Navarra,2013,3003
Ourense,2013,1097
Palencia,2013,324
Las Palmas,2013,8819
Pontevedra,2013,2083
La Rioja,2013,1154
Salamanca,2013,1223
Santa Cruz de Tenerife,2013,11117
Segovia,2013,560
Sevilla,2013,4562
Soria,2013,287
Tarragona,2013,4675
Teruel,2013,477
Toledo,2013,1994
Valencia,2013,11943
Valladolid,2013,1249
Zamora,2013,348
Zaragoza,2013,3819
Ceuta,2013,374
Melilla,2013,671
Albacete,2014,1199
Alacant,2014,20374
Almeria,2014,5922
Araba,2014,1460
Asturias,2014,2905
Avila,2014,478
Badajoz,2014,1228
Illes Balears,2014,11074
Barcelona,2014,50133
Bizkaia,2014,3993
Burgos,2014,1338
Caceres,2014,592
Cadiz,2014,2763
Cantabria,2014,1697
Castello,2014,3167
Ciudad Real,2014,1474
Cordoba,2014,1496
A Coruna,2014,2831
Cuenca,2014,850
Gipuzkoa,2014,3223
Girona,2014,6769
Granada,2014,3143
Guadalajara,2014,1226
Huelva,2014,2788
Huesca,2014,1106
Jaen,2014,1197
Leon,2014,1127
Lleida,2014,3202
Lugo,2014,795
Madrid,2014,53759
Malaga,2014,15044
Murcia,2014,6896
Navarra,2014,3281
Ourense,2014,1104
Palencia,2014,313
Las Palmas,2014,9547
Pontevedra,2014,2095
La Rioja,2014,1277
Salamanca,2014,1089
Santa Cruz de Tenerife,2014,11564
Segovia,2014,600
Sevilla,2014,4606
Soria,2014,318
Tarragona,2014,4965
Teruel,2014,433
Toledo,2014,2167
Valencia,2014,14499
Valladolid,2014,1267
Zamora,2014,287
Zaragoza,2014,4048
Ceuta,2014,362
