year,province,value
2022,Gipuzkoa,15660.0
2023,Gipuzkoa,16980.0
2024,Gipuzkoa,18520.0
2003,Bizkaia,11100.0
2004,Bizkaia,18470.0
2005,Bizkaia,15950.0
2006,Bizkaia,26350.0
2007,Bizkaia,16760.0
2008,Bizkaia,18840.0
2009,Bizkaia,22460.0
2010,Bizkaia,19030.0
2011,Bizkaia,21560.0
2012,Bizkaia,21440.0
2013,Bizkaia,22220.0
2014,Bizkaia,22430.0
2015,Bizkaia,22660.0
2016,Bizkaia,25730.0
2017,Bizkaia,29260.0
2018,Bizkaia,32480.0
2019,Bizkaia,32410.0
2020,Bizkaia,30280.0
2021,Bizkaia,30920.0
2022,Bizkaia,34500.0
2023,Bizkaia,36270.0
2024,Bizkaia,34820.0
2003,La Rioja,5630.0
2004,La Rioja,4910.0
2005,La Rioja,3390.0
2006,La Rioja,6720.0
2007,La Rioja,7490.0
2008,La Rioja,8000.0
2009,La Rioja,8340.0
2010,La Rioja,6600.0
2011,La Rioja,7100.0
2012,La Rioja,7010.0
2013,La Rioja,5480.0
2014,La Rioja,5490.0
2015,La Rioja,6160.0
2016,La Rioja,6900.0
2017,La Rioja,7270.0
2018,La Rioja,8390.0
2019,La Rioja,8220.0
2020,La Rioja,7680.0
2021,La Rioja,8230.0
2022,La Rioja,8930.0
2023,La Rioja,9830.0
2024,La Rioja,10050.0
2003,Ceuta,
2004,Ceuta,4410.0
2005,Ceuta,
2006,Ceuta,
2007,Ceuta,
2008,Ceuta,
2009,Ceuta,3340.0
2010,Ceuta,2730.0
2011,Ceuta,3540.0
2012,Ceuta,3410.0
2013,Ceuta,2690.0
2014,Ceuta,2390.0
2015,Ceuta,1510.0
2016,Ceuta,1740.0
2017,Ceuta,4430.0
2018,Ceuta,2800.0
2019,Ceuta,2640.0
2020,Ceuta,2280.0
2021,Ceuta,2750.0
2022,Ceuta,2500.0
2023,Ceuta,3250.0
2024,Ceuta,3300.0
2003,Melilla,
2004,Melilla,3290.0
2005,Melilla,
2006,Melilla,
2007,Melilla,
2008,Melilla,
2009,Melilla,3610.0
2010,Melilla,3730.0
2011,Melilla,3230.0
2012,Melilla,3170.0
2013,Melilla,3110.0
2014,Melilla,3030.0
2015,Melilla,2910.0
2016,Melilla,4110.0
2017,Melilla,3840.0
2018,Melilla,4490.0
2019,Melilla,3880.0
2020,Melilla,3230.0
2021,Melilla,3560.0
2022,Melilla,3580.0
2023,Melilla,4020.0
2024,Melilla,4070.0
