province,year,value
Bizkaia,2008,1149084
Burgos,2008,372561
Caceres,2008,408975
Cadiz,2008,1209067
Cantabria,2008,577266
Castello,2008,588015
Ciudad Real,2008,519759
Cordoba,2008,792681
A Coruna,2008,1128599
Cuenca,2008,214903
Gipuzkoa,2008,699398
Girona,2008,719747
Granada,2008,900260
Guadalajara,2008,237361
Huelva,2008,505037
Huesca,2008,224407
Jaen,2008,663528
Leon,2008,493938
Lleida,2008,423484
Lugo,2008,352633
Madrid,2008,6226195
Malaga,2008,1529003
Murcia,2008,1419567
Navarra,2008,616711
Ourense,2008,332808
Palencia,2008,172709
Las Palmas,2008,1040110
Pontevedra,2008,940727
La Rioja,2008,316192
Salamanca,2008,349843
Santa Cruz de Tenerife,2008,951836
Segovia,2008,163091
Sevilla,2008,1859555
Soria,2008,94470
Tarragona,2008,780209
Teruel,2008,145704
Toledo,2008,665283
Valencia,2008,2522559
Valladolid,2008,525651
Zamora,2008,196165
Zaragoza,2008,955315
Ceuta,2008,75252
Melilla,2008,71244
Albacete,2009,397881
Alacant,2009,1836134
Almeria,2009,673042
Araba,2009,315280
Asturias,2009,1076280
Avila,2009,173818
Badajoz,2009,684391
Illes Balears,2009,1070164
Barcelona,2009,5465841
Bizkaia,2009,1154628
Burgos,2009,374808
Caceres,2009,410300
Cadiz,2009,1221024
Cantabria,2009,584655
Castello,2009,594737
Ciudad Real,2009,523964
Cordoba,2009,797328
A Coruna,2009,1135287
Cuenca,2009,216435
Gipuzkoa,2009,704173
Girona,2009,735856
Granada,2009,909112
Guadalajara,2009,245403
Huelva,2009,510278
Huesca,2009,226769
Jaen,2009,665201
Leon,2009,495041
Lleida,2009,431409
Lugo,2009,352322
Madrid,2009,6327594
Malaga,2009,1552894
Murcia,2009,1441783
Navarra,2009,627276
Ourense,2009,332163
Palencia,2009,172665
Las Palmas,2009,1056361
Pontevedra,2009,947703
La Rioja,2009,319786
Salamanca,2009,351018
Santa Cruz de Tenerife,2009,969125
Segovia,2009,163374
Sevilla,2009,1884107
Soria,2009,94738
Tarragona,2009,793983
Teruel,2009,146132
Toledo,2009,682734
Valencia,2009,2550405
Valladolid,2009,528788
Zamora,2009,194924
Zaragoza,2009,969877
Ceuta,2009,76922
Melilla,2009,73361
Albacete,2010,399448
Alacant,2010,1840085
Almeria,2010,680484
Araba,2010,317737
Asturias,2010,1077103
Avila,2010,173370
Badajoz,2010,687745
Illes Balears,2010,1083683
Barcelona,2010,5488633
Bizkaia,2010,1155818
Burgos,2010,374005
Caceres,2010,411860
Cadiz,2010,1229844
Cantabria,2010,588518
Castello,2010,595853
Ciudad Real,2010,525459
Cordoba,2010,799757
A Coruna,2010,1138107
Cuenca,2010,216609
Gipuzkoa,2010,705977
Girona,2010,741841
Granada,2010,915317
Guadalajara,2010,250531
Huelva,2010,514629
Huesca,2010,226790
Jaen,2010,666363
Leon,2010,494823
Lleida,2010,434179
Lugo,2010,351000
Madrid,2010,6373532
Malaga,2010,1566667
Murcia,2010,1453545
Navarra,2010,633017
Ourense,2010,331649
Palencia,2010,171894
Las Palmas,2010,1066491
Pontevedra,2010,951701
La Rioja,2010,319939
Salamanca,2010,350901
Santa Cruz de Tenerife,2010,978677
Segovia,2010,163174
Sevilla,2010,1902956
Soria,2010,94987
Tarragona,2010,798818
Teruel,2010,145112
Toledo,2010,692424
Valencia,2010,2553693
Valladolid,2010,530503
Zamora,2010,193751
Zaragoza,2010,972282
Ceuta,2010,79294
Melilla,2010,76047
Albacete,2011,400847
Alacant,2011,1844439
Almeria,2011,686448
Araba,2011,319846
Asturias,2011,1075877
Avila,2011,172771
Badajoz,2011,689902
Illes Balears,2011,1091656
Barcelona,2011,5505667
Bizkaia,2011,1156030
Burgos,2011,373252
Caceres,2011,412397
Cadiz,2011,1238923
Cantabria,2011,590874
Castello,2011,595574
Ciudad Real,2011,526166
Cordoba,2011,801792
A Coruna,2011,1140069
Cuenca,2011,216377
Gipuzkoa,2011,707258
Girona,2011,747036
Granada,2011,919885
Guadalajara,2011,254656
Huelva,2011,517890
Huesca,2011,226596
Jaen,2011,667059
Leon,2011,494211
Lleida,2011,436689
Lugo,2011,349525
Madrid,2011,6394239
Malaga,2011,1581343
Murcia,2011,1459076
Navarra,2011,637099
Ourense,2011,330019
Palencia,2011,171305
Las Palmas,2011,1077087
Pontevedra,2011,953802
La Rioja,2011,320850
Salamanca,2011,350819
Santa Cruz de Tenerife,2011,987789
Segovia,2011,163423
Sevilla,2011,1918747
Soria,2011,94898
Tarragona,2011,803859
Teruel,2011,144357
Toledo,2011,701011
Valencia,2011,2559199
Valladolid,2011,531881
Zamora,2011,192726
Zaragoza,2011,973443
Ceuta,2011,81627
Melilla,2011,78863
Albacete,2012,401590
Alacant,2012,1853209
Almeria,2012,689320
Araba,2012,320566
Asturias,2012,1074304
Avila,2012,171365
Badajoz,2012,691842
Illes Balears,2012,1100715
Barcelona,2012,5518276
Bizkaia,2012,1155709
Burgos,2012,372190
Caceres,2012,412501
Cadiz,2012,1245363
Cantabria,2012,592387
Castello,2012,593924
Ciudad Real,2012,526281
Cordoba,2012,802717
A Coruna,2012,1141178
Cuenca,2012,214752
Gipuzkoa,2012,708421
Girona,2012,751599
Granada,2012,922460
Guadalajara,2012,257731
Huelva,2012,519980
Huesca,2012,225821
Jaen,2012,667260
Leon,2012,492823
Lleida,2012,438213
Lugo,2012,347629
Madrid,2012,6425573
Malaga,2012,1598137
Murcia,2012,1461928
Navarra,2012,640023
Ourense,2012,328188
Palencia,2012,170301
Las Palmas,2012,1089051
Pontevedra,2012,954921
La Rioja,2012,320951
Salamanca,2012,349625
Santa Cruz de Tenerife,2012,996877
Segovia,2012,162937
Sevilla,2012,1932573
Soria,2012,94463
Tarragona,2012,806904
Teruel,2012,142918
Toledo,2012,705583
Valencia,2012,2562514
Valladolid,2012,532644
Zamora,2012,191306
Zaragoza,2012,975050
Ceuta,2012,83837
Melilla,2012,81786
Albacete,2013,399093
Alacant,2013,1852733
