province_norm,year,votes,province_votes,province_pop,population,votes_per100k
castello,2019,25903,Castello,Castello,579592.0,4469.178318541319
castello,2023,32076,Castello,Castello,604086.0,5309.839989670345
ceuta,2000,93,Ceuta,,,
ceuta,2004,178,Ceuta,Ceuta,71542.0,248.80489782225825
ceuta,2008,76,Ceuta,Ceuta,75252.0,100.99399351512251
ceuta,2011,0,Ceuta,Ceuta,81627.0,0.0
ceuta,2016,139,Ceuta,Ceuta,84558.0,164.38420965491142
ceuta,2019,9092,Ceuta,Ceuta,85087.0,10685.533630284297
ceuta,2023,7752,Ceuta,Ceuta,83052.0,9333.91128449646
ciudad real,2000,183,Ciudad Real,,,
ciudad real,2004,389,Ciudad Real,Ciudad Real,488058.0,79.70364178028021
ciudad real,2008,286,Ciudad Real,Ciudad Real,519759.0,55.025502203906036
ciudad real,2011,247,Ciudad Real,Ciudad Real,526166.0,46.94336008027885
ciudad real,2016,406,Ciudad Real,Ciudad Real,508629.0,79.82242459631676
ciudad real,2019,11468,Ciudad Real,Ciudad Real,495686.0,2313.561407826729
ciudad real,2023,12510,Ciudad Real,Ciudad Real,491927.0,2543.0602508095717
cordoba,2000,419,Cordoba,,,
cordoba,2004,943,Cordoba,Cordoba,770517.0,122.38535944047958
cordoba,2008,1120,Cordoba,Cordoba,792681.0,141.29265114213663
cordoba,2011,502,Cordoba,Cordoba,801792.0,62.60975415070243
cordoba,2016,1038,Cordoba,Cordoba,790749.0,131.26794975396743
cordoba,2019,56919,Cordoba,Cordoba,780982.0,7288.132120842734
cordoba,2023,62526,Cordoba,Cordoba,775002.0,8067.850147483491
cuenca,2000,93,Cuenca,,,
cuenca,2004,131,Cuenca,Cuenca,203133.0,64.48976778760714
cuenca,2008,166,Cuenca,Cuenca,214903.0,77.24415201276855
cuenca,2011,181,Cuenca,Cuenca,216377.0,83.6502955489724
cuenca,2016,182,Cuenca,Cuenca,202864.0,89.71527723006547
cuenca,2019,4866,Cuenca,Cuenca,197617.0,2462.338766401676
cuenca,2023,4978,Cuenca,Cuenca,198436.0,2508.6173879739563
gipuzkoa,2000,360,Gipuzkoa,,,
gipuzkoa,2004,1793,Gipuzkoa,Gipuzkoa,680750.0,263.38597135512305
gipuzkoa,2008,1787,Gipuzkoa,Gipuzkoa,699398.0,255.50544897183005
gipuzkoa,2011,3687,Gipuzkoa,Gipuzkoa,707258.0,521.3090555356038
gipuzkoa,2016,1187,Gipuzkoa,Gipuzkoa,711261.0,166.8866984131001
gipuzkoa,2019,37773,Gipuzkoa,Gipuzkoa,719613.0,5249.071375864527
gipuzkoa,2023,49074,Gipuzkoa,Gipuzkoa,726712.0,6752.881471614615
girona,2000,273,Girona,,,
girona,2004,577,Girona,Girona,618291.0,93.32175302567885
girona,2008,717,Girona,Girona,719747.0,99.61833811047494
girona,2011,2636,Girona,Girona,747036.0,352.86117402641906
girona,2016,724,Girona,Girona,745797.0,97.07735482979953
girona,2019,10715,Girona,Girona,765476.0,1399.7826189194698
girona,2023,22706,Girona,Girona,808672.0,2807.8133037869493
granada,2000,378,Granada,,,
granada,2004,1145,Granada,Granada,842810.0,135.85505629975913
granada,2008,1115,Granada,Granada,900260.0,123.85310910181502
granada,2011,0,Granada,Granada,919885.0,0.0
granada,2016,993,Granada,Granada,915706.0,108.4409188101858
granada,2019,73914,Granada,Granada,916879.0,8061.4781230674935
granada,2023,81080,Granada,Granada,934072.0,8680.273041050368
guadalajara,2000,618,Guadalajara,,,
guadalajara,2004,1059,Guadalajara,Guadalajara,193139.0,548.3097665411957
guadalajara,2008,785,Guadalajara,Guadalajara,237361.0,330.71987394727864
guadalajara,2011,948,Guadalajara,Guadalajara,254656.0,372.26690123146517
guadalajara,2016,1532,Guadalajara,Guadalajara,254191.0,602.696397590788
guadalajara,2019,46194,Guadalajara,Guadalajara,259266.0,17817.222466501586
guadalajara,2023,48112,Guadalajara,Guadalajara,275082.0,17490.057510124254
huelva,2000,311,Huelva,,,
huelva,2004,368,Huelva,Huelva,473452.0,77.7269923878239
huelva,2008,614,Huelva,Huelva,505037.0,121.57525092220966
huelva,2011,296,Huelva,Huelva,517890.0,57.154994303809694
huelva,2016,398,Huelva,Huelva,520086.0,76.52580534757713
huelva,2019,33920,Huelva,Huelva,522138.0,6496.366860868199
huelva,2023,37572,Huelva,Huelva,534084.0,7034.848450805491
huesca,2000,0,Huesca,,,
huesca,2004,406,Huesca,Huesca,211743.0,191.74187576448807
huesca,2008,344,Huesca,Huesca,224407.0,153.29290084533906
huesca,2011,0,Huesca,Huesca,226596.0,0.0
huesca,2016,399,Huesca,Huesca,221495.0,180.13950653513623
huesca,2019,13389,Huesca,Huesca,220996.0,6058.480696483194
huesca,2023,15155,Huesca,Huesca,226878.0,6679.801479209091
illes balears,2000,623,Illes Balears,,,
illes balears,2004,824,Illes Balears,Illes Balears,912964.0,90.25547557187359
illes balears,2008,1138,Illes Balears,Illes Balears,1042855.0,109.12351189762718
illes balears,2011,0,Illes Balears,Illes Balears,1091656.0,0.0
illes balears,2016,0,Illes Balears,Illes Balears,1117353.0,0.0
illes balears,2019,58567,Illes Balears,Illes Balears,1157928.0,5057.913790840191
illes balears,2023,76547,Illes Balears,Illes Balears,1209906.0,6326.689842020785
jaen,2000,397,Jaen,,,
jaen,2004,703,Jaen,Jaen,649924.0,108.16649331306431
jaen,2008,615,Jaen,Jaen,663528.0,92.68636741780301
jaen,2011,0,Jaen,Jaen,667059.0,0.0
jaen,2016,638,Jaen,Jaen,647007.0,98.60789759616202
jaen,2019,46934,Jaen,Jaen,633375.0,7410.144069469115
jaen,2023,54400,Jaen,Jaen,620637.0,8765.188024561861
la rioja,2000,1857,La Rioja,,,
la rioja,2004,5904,La Rioja,La Rioja,291082.0,2028.294432496685
la rioja,2008,4464,La Rioja,La Rioja,316192.0,1411.8004250581926
la rioja,2011,5579,La Rioja,La Rioja,320850.0,1738.81876266168
la rioja,2016,4846,La Rioja,La Rioja,314025.0,1543.1892365257545
la rioja,2019,170070,La Rioja,La Rioja,315967.0,53825.241243547585
la rioja,2023,219388,La Rioja,La Rioja,322282.0,68073.30226323531
las palmas,2000,478,Las Palmas,,,
las palmas,2004,1063,Las Palmas,Las Palmas,943646.0,112.64817526911575
las palmas,2008,900,Las Palmas,Las Palmas,1040110.0,86.52930939996732
las palmas,2011,0,Las Palmas,Las Palmas,1077087.0,0.0
las palmas,2016,882,Las Palmas,Las Palmas,1099894.0,80.18954553802457
las palmas,2019,38229,Las Palmas,Las Palmas,1121686.0,3408.1730537779736
las palmas,2023,77343,Las Palmas,Las Palmas,1145843.0,6749.877601032603
leon,2000,147,Leon,,,
leon,2004,332,Leon,Leon,487073.0,68.16226725768006
