year,province,total_votes,votes_edreta,source_file
2004,Bizkaia,889522,3201,Vots extrema dreta 2004.xlsx
2004,Gipuzkoa,312174,1793,Vots extrema dreta 2004.xlsx
2004,La Rioja,1454856,5904,Vots extrema dreta 2004.xlsx
2004,Ceuta,35691,178,Vots extrema dreta 2004.xlsx
2004,Melilla,27207,98,Vots extrema dreta 2004.xlsx
2008,Almeria,325846,543,Vots extrema dreta 2008.xlsx
2008,Cadiz,643308,1895,Vots extrema dreta 2008.xlsx
2008,Cordoba,484711,1120,Vots extrema dreta 2008.xlsx
2008,Granada,530323,1115,Vots extrema dreta 2008.xlsx
2008,Huelva,268531,614,Vots extrema dreta 2008.xlsx
2008,Jaen,414606,615,Vots extrema dreta 2008.xlsx
2008,Malaga,764320,2112,Vots extrema dreta 2008.xlsx
2008,Sevilla,1078542,1534,Vots extrema dreta 2008.xlsx
2008,Huesca,132255,344,Vots extrema dreta 2008.xlsx
2008,Teruel,86786,174,Vots extrema dreta 2008.xlsx
2008,Zaragoza,548439,1351,Vots extrema dreta 2008.xlsx
2008,Asturias,695735,1343,Vots extrema dreta 2008.xlsx
2008,Illes Balears,473583,1138,Vots extrema dreta 2008.xlsx
2008,Las Palmas,506456,900,Vots extrema dreta 2008.xlsx
2008,Santa Cruz de Tenerife,492231,843,Vots extrema dreta 2008.xlsx
2008,Cantabria,369806,891,Vots extrema dreta 2008.xlsx
2008,Avila,239809,597,Vots extrema dreta 2008.xlsx
2008,Burgos,310525,445,Vots extrema dreta 2008.xlsx
2008,Leon,132989,215,Vots extrema dreta 2008.xlsx
2008,Palencia,133598,460,Vots extrema dreta 2008.xlsx
2008,Salamanca,392630,885,Vots extrema dreta 2008.xlsx
2008,Segovia,114835,274,Vots extrema dreta 2008.xlsx
2008,Soria,232851,750,Vots extrema dreta 2008.xlsx
2008,Valladolid,332078,681,Vots extrema dreta 2008.xlsx
2008,Zamora,117964,253,Vots extrema dreta 2008.xlsx
2008,Albacete,236394,520,Vots extrema dreta 2008.xlsx
2008,Ciudad Real,99937,286,Vots extrema dreta 2008.xlsx
2008,Cuenca,56033,166,Vots extrema dreta 2008.xlsx
2008,Guadalajara,349226,785,Vots extrema dreta 2008.xlsx
2008,Toledo,132771,208,Vots extrema dreta 2008.xlsx
2008,Barcelona,2799228,5626,Vots extrema dreta 2008.xlsx
2008,Girona,333881,717,Vots extrema dreta 2008.xlsx
2008,Lleida,213528,473,Vots extrema dreta 2008.xlsx
2008,Tarragona,376784,842,Vots extrema dreta 2008.xlsx
2008,Alacant,427515,626,Vots extrema dreta 2008.xlsx
2008,Castello,271965,425,Vots extrema dreta 2008.xlsx
2008,Valencia,742231,1044,Vots extrema dreta 2008.xlsx
2008,Badajoz,247770,427,Vots extrema dreta 2008.xlsx
2008,Caceres,241986,355,Vots extrema dreta 2008.xlsx
2008,A Coruña,614501,1128,Vots extrema dreta 2008.xlsx
2008,Lugo,3532381,11915,Vots extrema dreta 2008.xlsx
2008,Ourense,339230,735,Vots extrema dreta 2008.xlsx
2008,Pontevedra,170589,175,Vots extrema dreta 2008.xlsx
2008,Madrid,327815,701,Vots extrema dreta 2008.xlsx
2008,Murcia,630917,1199,Vots extrema dreta 2008.xlsx
2008,Navarra,766510,1674,Vots extrema dreta 2008.xlsx
2008,Araba,188033,341,Vots extrema dreta 2008.xlsx
2008,Bizkaia,934313,2367,Vots extrema dreta 2008.xlsx
2008,Gipuzkoa,317596,1787,Vots extrema dreta 2008.xlsx
2008,La Rioja,1492553,4464,Vots extrema dreta 2008.xlsx
2008,Ceuta,36364,76,Vots extrema dreta 2008.xlsx
2008,Melilla,32055,44,Vots extrema dreta 2008.xlsx
2011,Almeria,312923,493,Vots extrema dreta 2011.xlsx
2011,Cadiz,620252,0,Vots extrema dreta 2011.xlsx
2011,Cordoba,468623,502,Vots extrema dreta 2011.xlsx
2011,Granada,508782,0,Vots extrema dreta 2011.xlsx
2011,Huelva,263507,296,Vots extrema dreta 2011.xlsx
2011,Jaen,403443,0,Vots extrema dreta 2011.xlsx
2011,Malaga,720031,0,Vots extrema dreta 2011.xlsx
2011,Sevilla,1060182,1160,Vots extrema dreta 2011.xlsx
2011,Huesca,120570,0,Vots extrema dreta 2011.xlsx
2011,Teruel,77229,0,Vots extrema dreta 2011.xlsx
2011,Zaragoza,513893,0,Vots extrema dreta 2011.xlsx
2011,Asturias,632436,0,Vots extrema dreta 2011.xlsx
2011,Illes Balears,438272,0,Vots extrema dreta 2011.xlsx
2011,Las Palmas,472088,0,Vots extrema dreta 2011.xlsx
2011,Santa Cruz de Tenerife,457822,0,Vots extrema dreta 2011.xlsx
2011,Cantabria,351249,0,Vots extrema dreta 2011.xlsx
2011,Avila,232322,0,Vots extrema dreta 2011.xlsx
2011,Burgos,298341,0,Vots extrema dreta 2011.xlsx
2011,Leon,125092,0,Vots extrema dreta 2011.xlsx
2011,Palencia,132154,471,Vots extrema dreta 2011.xlsx
2011,Salamanca,384943,0,Vots extrema dreta 2011.xlsx
2011,Segovia,105976,233,Vots extrema dreta 2011.xlsx
2011,Soria,214093,0,Vots extrema dreta 2011.xlsx
2011,Valladolid,293290,0,Vots extrema dreta 2011.xlsx
2011,Zamora,106547,234,Vots extrema dreta 2011.xlsx
2011,Albacete,214666,0,Vots extrema dreta 2011.xlsx
2011,Ciudad Real,92489,247,Vots extrema dreta 2011.xlsx
2011,Cuenca,51091,181,Vots extrema dreta 2011.xlsx
2011,Guadalajara,326333,948,Vots extrema dreta 2011.xlsx
2011,Toledo,118122,0,Vots extrema dreta 2011.xlsx
2011,Barcelona,2615465,53142,Vots extrema dreta 2011.xlsx
2011,Girona,306248,2636,Vots extrema dreta 2011.xlsx
2011,Lleida,192439,1074,Vots extrema dreta 2011.xlsx
2011,Tarragona,346708,3097,Vots extrema dreta 2011.xlsx
2011,Alacant,408842,0,Vots extrema dreta 2011.xlsx
2011,Castello,253990,0,Vots extrema dreta 2011.xlsx
2011,Valencia,666317,0,Vots extrema dreta 2011.xlsx
2011,Badajoz,216435,0,Vots extrema dreta 2011.xlsx
2011,Caceres,204286,0,Vots extrema dreta 2011.xlsx
2011,A Coruña,558779,0,Vots extrema dreta 2011.xlsx
2011,Lugo,3373805,0,Vots extrema dreta 2011.xlsx
2011,Ourense,331085,0,Vots extrema dreta 2011.xlsx
2011,Pontevedra,169425,0,Vots extrema dreta 2011.xlsx
2011,Madrid,373967,0,Vots extrema dreta 2011.xlsx
2011,Murcia,639880,0,Vots extrema dreta 2011.xlsx
2011,Navarra,734686,0,Vots extrema dreta 2011.xlsx
2011,Araba,173910,0,Vots extrema dreta 2011.xlsx
2011,Bizkaia,887427,0,Vots extrema dreta 2011.xlsx
2011,Gipuzkoa,296515,3687,Vots extrema dreta 2011.xlsx
2011,La Rioja,1423386,5579,Vots extrema dreta 2011.xlsx
2011,Ceuta,31804,0,Vots extrema dreta 2011.xlsx
2011,Melilla,26726,0,Vots extrema dreta 2011.xlsx
2016,Almeria,306674,758,Vots extrema dreta 2016.xlsx
2016,Cadiz,615755,1725,Vots extrema dreta 2016.xlsx
2016,Cordoba,446818,1038,Vots extrema dreta 2016.xlsx
2016,Granada,489540,993,Vots extrema dreta 2016.xlsx
2016,Huelva,245819,398,Vots extrema dreta 2016.xlsx
2016,Jaen,370762,638,Vots extrema dreta 2016.xlsx
2016,Malaga,744858,1770,Vots extrema dreta 2016.xlsx
2016,Sevilla,1033112,3001,Vots extrema dreta 2016.xlsx
2016,Huesca,116884,399,Vots extrema dreta 2016.xlsx
2016,Teruel,74922,160,Vots extrema dreta 2016.xlsx
2016,Zaragoza,513135,1614,Vots extrema dreta 2016.xlsx
2016,Asturias,594699,1442,Vots extrema dreta 2016.xlsx
2016,Illes Balears,464787,0,Vots extrema dreta 2016.xlsx
2016,Las Palmas,502506,882,Vots extrema dreta 2016.xlsx
2016,Santa Cruz de Tenerife,476666,0,Vots extrema dreta 2016.xlsx
2016,Cantabria,337567,713,Vots extrema dreta 2016.xlsx
2016,Avila,219473,255,Vots extrema dreta 2016.xlsx
2016,Burgos,279396,0,Vots extrema dreta 2016.xlsx
2016,Leon,115849,274,Vots extrema dreta 2016.xlsx
2016,Palencia,131538,747,Vots extrema dreta 2016.xlsx
2016,Salamanca,367503,1597,Vots extrema dreta 2016.xlsx
2016,Segovia,98917,261,Vots extrema dreta 2016.xlsx
2016,Soria,206981,647,Vots extrema dreta 2016.xlsx
2016,Valladolid,280858,620,Vots extrema dreta 2016.xlsx
2016,Zamora,100626,184,Vots extrema dreta 2016.xlsx
2016,Albacete,202483,0,Vots extrema dreta 2016.xlsx
2016,Ciudad Real,88525,406,Vots extrema dreta 2016.xlsx
2016,Cuenca,49618,182,Vots extrema dreta 2016.xlsx
2016,Guadalajara,315768,1532,Vots extrema dreta 2016.xlsx
2016,Toledo,108893,0,Vots extrema dreta 2016.xlsx
2016,Barcelona,2643933,0,Vots extrema dreta 2016.xlsx
2016,Girona,307853,724,Vots extrema dreta 2016.xlsx
2016,Lleida,181159,198,Vots extrema dreta 2016.xlsx
2016,Tarragona,344620,0,Vots extrema dreta 2016.xlsx
2016,Alacant,377949,617,Vots extrema dreta 2016.xlsx
2016,Castello,236205,409,Vots extrema dreta 2016.xlsx
2016,Valencia,643389,1026,Vots extrema dreta 2016.xlsx
2016,Badajoz,192957,0,Vots extrema dreta 2016.xlsx
2016,Caceres,186177,0,Vots extrema dreta 2016.xlsx
2016,A Coruña,544673,0,Vots extrema dreta 2016.xlsx
2016,Lugo,3465795,20749,Vots extrema dreta 2016.xlsx
2016,Ourense,335335,0,Vots extrema dreta 2016.xlsx
2016,Pontevedra,167640,306,Vots extrema dreta 2016.xlsx
2016,Madrid,365493,0,Vots extrema dreta 2016.xlsx
2016,Murcia,621219,641,Vots extrema dreta 2016.xlsx
2016,Navarra,713592,2622,Vots extrema dreta 2016.xlsx
2016,Araba,172982,366,Vots extrema dreta 2016.xlsx
2016,Bizkaia,875169,2003,Vots extrema dreta 2016.xlsx
2016,Gipuzkoa,299204,1187,Vots extrema dreta 2016.xlsx
2016,La Rioja,1419521,4846,Vots extrema dreta 2016.xlsx
2016,Ceuta,30837,139,Vots extrema dreta 2016.xlsx
2016,Melilla,27121,0,Vots extrema dreta 2016.xlsx
2019,Almeria,328097,62648,Vots extrema dreta 2019.xlsx
2019,Cadiz,667562,87438,Vots extrema dreta 2019.xlsx
2019,Cordoba,473716,56919,Vots extrema dreta 2019.xlsx
2019,Granada,523843,73914,Vots extrema dreta 2019.xlsx
2019,Huelva,264569,33920,Vots extrema dreta 2019.xlsx
2019,Jaen,386916,46934,Vots extrema dreta 2019.xlsx
2019,Malaga,816868,114199,Vots extrema dreta 2019.xlsx
2019,Sevilla,1122507,136949,Vots extrema dreta 2019.xlsx
2019,Huesca,125314,13389,Vots extrema dreta 2019.xlsx
2019,Teruel,78083,8336,Vots extrema dreta 2019.xlsx
2019,Zaragoza,554407,70663,Vots extrema dreta 2019.xlsx
2019,Asturias,626661,72018,Vots extrema dreta 2019.xlsx
2019,Illes Balears,518507,58567,Vots extrema dreta 2019.xlsx
2019,Las Palmas,545052,38229,Vots extrema dreta 2019.xlsx
2019,Santa Cruz de Tenerife,516484,31385,Vots extrema dreta 2019.xlsx
2019,Cantabria,359104,40139,Vots extrema dreta 2019.xlsx
2019,Avila,234404,33948,Vots extrema dreta 2019.xlsx
2019,Burgos,293907,40313,Vots extrema dreta 2019.xlsx
2019,Leon,119530,16755,Vots extrema dreta 2019.xlsx
2019,Palencia,142707,23501,Vots extrema dreta 2019.xlsx
2019,Salamanca,396910,66927,Vots extrema dreta 2019.xlsx
2019,Segovia,102079,14719,Vots extrema dreta 2019.xlsx
2019,Soria,219553,24382,Vots extrema dreta 2019.xlsx
2019,Valladolid,291600,33653,Vots extrema dreta 2019.xlsx
2019,Zamora,106043,12506,Vots extrema dreta 2019.xlsx
2019,Albacete,210646,26631,Vots extrema dreta 2019.xlsx
2019,Ciudad Real,92508,11468,Vots extrema dreta 2019.xlsx
2019,Cuenca,52077,4866,Vots extrema dreta 2019.xlsx
2019,Guadalajara,336554,46194,Vots extrema dreta 2019.xlsx
2019,Toledo,110645,12887,Vots extrema dreta 2019.xlsx
2019,Barcelona,3120441,112019,Vots extrema dreta 2019.xlsx
2019,Girona,382275,10715,Vots extrema dreta 2019.xlsx
2019,Lleida,225655,6005,Vots extrema dreta 2019.xlsx
2019,Tarragona,418192,20105,Vots extrema dreta 2019.xlsx
2019,Alacant,408393,44890,Vots extrema dreta 2019.xlsx
2019,Castello,248732,25903,Vots extrema dreta 2019.xlsx
2019,Valencia,677342,38187,Vots extrema dreta 2019.xlsx
2019,Badajoz,199998,11450,Vots extrema dreta 2019.xlsx
2019,Caceres,192523,9984,Vots extrema dreta 2019.xlsx
2019,A Coruña,576187,27426,Vots extrema dreta 2019.xlsx
2019,Lugo,3782247,524176,Vots extrema dreta 2019.xlsx
2019,Ourense,366998,17771,Vots extrema dreta 2019.xlsx
2019,Pontevedra,177366,5608,Vots extrema dreta 2019.xlsx
2019,Madrid,412126,6783,Vots extrema dreta 2019.xlsx
2019,Murcia,686960,15839,Vots extrema dreta 2019.xlsx
2019,Navarra,769084,143234,Vots extrema dreta 2019.xlsx
2019,Araba,180832,16255,Vots extrema dreta 2019.xlsx
2019,Bizkaia,917498,115249,Vots extrema dreta 2019.xlsx
2019,Gipuzkoa,313393,37773,Vots extrema dreta 2019.xlsx
2019,La Rioja,1456527,170070,Vots extrema dreta 2019.xlsx
2019,Ceuta,37991,9092,Vots extrema dreta 2019.xlsx
2019,Melilla,33758,5807,Vots extrema dreta 2019.xlsx
2023,Almeria,321242,68364,Vots extrema dreta 2023.xlsx
2023,Cadiz,637098,96720,Vots extrema dreta 2023.xlsx
2023,Cordoba,448602,62526,Vots extrema dreta 2023.xlsx
2023,Granada,502845,81080,Vots extrema dreta 2023.xlsx
2023,Huelva,256804,37572,Vots extrema dreta 2023.xlsx
2023,Jaen,368731,54400,Vots extrema dreta 2023.xlsx
2023,Malaga,788338,129758,Vots extrema dreta 2023.xlsx
2023,Sevilla,1059358,141768,Vots extrema dreta 2023.xlsx
2023,Huesca,119895,15155,Vots extrema dreta 2023.xlsx
2023,Teruel,75913,9932,Vots extrema dreta 2023.xlsx
2023,Zaragoza,518705,79648,Vots extrema dreta 2023.xlsx
2023,Asturias,597032,74571,Vots extrema dreta 2023.xlsx
2023,Illes Balears,503280,76547,Vots extrema dreta 2023.xlsx
2023,Las Palmas,529337,77343,Vots extrema dreta 2023.xlsx
2023,Santa Cruz de Tenerife,494373,0,Vots extrema dreta 2023.xlsx
2023,Cantabria,350150,49243,Vots extrema dreta 2023.xlsx
2023,Avila,221191,36750,Vots extrema dreta 2023.xlsx
2023,Burgos,282979,46046,Vots extrema dreta 2023.xlsx
2023,Leon,113808,17700,Vots extrema dreta 2023.xlsx
2023,Palencia,140913,27244,Vots extrema dreta 2023.xlsx
2023,Salamanca,387200,76325,Vots extrema dreta 2023.xlsx
2023,Segovia,97956,15145,Vots extrema dreta 2023.xlsx
2023,Soria,202569,25858,Vots extrema dreta 2023.xlsx
2023,Valladolid,275240,35451,Vots extrema dreta 2023.xlsx
2023,Zamora,96962,12575,Vots extrema dreta 2023.xlsx
2023,Albacete,199110,29203,Vots extrema dreta 2023.xlsx
2023,Ciudad Real,88613,12510,Vots extrema dreta 2023.xlsx
2023,Cuenca,50769,4978,Vots extrema dreta 2023.xlsx
2023,Guadalajara,316309,48112,Vots extrema dreta 2023.xlsx
2023,Toledo,103410,13652,Vots extrema dreta 2023.xlsx
2023,Barcelona,2667478,201775,Vots extrema dreta 2023.xlsx
2023,Girona,322988,22706,Vots extrema dreta 2023.xlsx
2023,Lleida,184539,12560,Vots extrema dreta 2023.xlsx
2023,Tarragona,368024,38039,Vots extrema dreta 2023.xlsx
2023,Alacant,391461,53492,Vots extrema dreta 2023.xlsx
2023,Castello,235851,32076,Vots extrema dreta 2023.xlsx
2023,Valencia,677702,34410,Vots extrema dreta 2023.xlsx
2023,Badajoz,198566,8643,Vots extrema dreta 2023.xlsx
2023,Caceres,186271,9080,Vots extrema dreta 2023.xlsx
2023,A Coruña,573124,27539,Vots extrema dreta 2023.xlsx
2023,Lugo,3608673,507915,Vots extrema dreta 2023.xlsx
2023,Ourense,341844,19491,Vots extrema dreta 2023.xlsx
2023,Pontevedra,169107,6573,Vots extrema dreta 2023.xlsx
2023,Madrid,376621,7877,Vots extrema dreta 2023.xlsx
2023,Murcia,609693,16069,Vots extrema dreta 2023.xlsx
2023,Navarra,747797,163500,Vots extrema dreta 2023.xlsx
2023,Araba,174663,17056,Vots extrema dreta 2023.xlsx
2023,Bizkaia,899192,146133,Vots extrema dreta 2023.xlsx
2023,Gipuzkoa,307930,49074,Vots extrema dreta 2023.xlsx
2023,La Rioja,1437161,219388,Vots extrema dreta 2023.xlsx
2023,Ceuta,33321,7752,Vots extrema dreta 2023.xlsx
2023,Melilla,27349,4359,Vots extrema dreta 2023.xlsx
