year,province,total_votes,votes_edreta
2016,Salamanca,367503,1597
2016,Segovia,98917,261
2016,Soria,206981,647
2016,Valladolid,280858,620
2016,Zamora,100626,184
2016,Albacete,202483,0
2016,Ciudad Real,88525,406
2016,Cuenca,49618,182
2016,Guadalajara,315768,1532
2016,Toledo,108893,0
2016,Barcelona,2643933,0
2016,Girona,307853,724
2016,Lleida,181159,198
2016,Tarragona,344620,0
2016,Alacant,377949,617
2016,Castello,236205,409
2016,Valencia,643389,1026
2016,Badajoz,192957,0
2016,Caceres,186177,0
2016,A Coruña,544673,0
2016,Lugo,3465795,20749
2016,Ourense,335335,0
2016,Pontevedra,167640,306
2016,Madrid,365493,0
2016,Murcia,621219,641
2016,Navarra,713592,2622
2016,Araba,172982,366
2016,Bizkaia,875169,2003
2016,Gipuzkoa,299204,1187
2016,La Rioja,1419521,4846
2016,Ceuta,30837,139
2016,Melilla,27121,0
2019,Almeria,328097,62648
2019,Cadiz,667562,87438
2019,Cordoba,473716,56919
2019,Granada,523843,73914
2019,Huelva,264569,33920
2019,Jaen,386916,46934
2019,Malaga,816868,114199
2019,Sevilla,1122507,136949
2019,Huesca,125314,13389
2019,Teruel,78083,8336
2019,Zaragoza,554407,70663
2019,Asturias,626661,72018
2019,Illes Balears,518507,58567
2019,Las Palmas,545052,38229
2019,Santa Cruz de Tenerife,516484,31385
2019,Cantabria,359104,40139
2019,Avila,234404,33948
2019,Burgos,293907,40313
2019,Leon,119530,16755
2019,Palencia,142707,23501
2019,Salamanca,396910,66927
2019,Segovia,102079,14719
2019,Soria,219553,24382
2019,Valladolid,291600,33653
2019,Zamora,106043,12506
2019,Albacete,210646,26631
2019,Ciudad Real,92508,11468
2019,Cuenca,52077,4866
2019,Guadalajara,336554,46194
2019,Toledo,110645,12887
2019,Barcelona,3120441,112019
2019,Girona,382275,10715
2019,Lleida,225655,6005
2019,Tarragona,418192,20105
2019,Alacant,408393,44890
2019,Castello,248732,25903
2019,Valencia,677342,38187
2019,Badajoz,199998,11450
2019,Caceres,192523,9984
2019,A Coruña,576187,27426
2019,Lugo,3782247,524176
2019,Ourense,366998,17771
2019,Pontevedra,177366,5608
2019,Madrid,412126,6783
2019,Murcia,686960,15839
2019,Navarra,769084,143234
2019,Araba,180832,16255
2019,Bizkaia,917498,115249
2019,Gipuzkoa,313393,37773
2019,La Rioja,1456527,170070
2019,Ceuta,37991,9092
2019,Melilla,33758,5807
2023,Almeria,321242,68364
2023,Cadiz,637098,96720
2023,Cordoba,448602,62526
2023,Granada,502845,81080
2023,Huelva,256804,37572
2023,Jaen,368731,54400
2023,Malaga,788338,129758
2023,Sevilla,1059358,141768
2023,Huesca,119895,15155
2023,Teruel,75913,9932
2023,Zaragoza,518705,79648
2023,Asturias,597032,74571
2023,Illes Balears,503280,76547
2023,Las Palmas,529337,77343
2023,Santa Cruz de Tenerife,494373,0
2023,Cantabria,350150,49243
2023,Avila,221191,36750
2023,Burgos,282979,46046
2023,Leon,113808,17700
2023,Palencia,140913,27244
2023,Salamanca,387200,76325
2023,Segovia,97956,15145
2023,Soria,202569,25858
2023,Valladolid,275240,35451
2023,Zamora,96962,12575
2023,Albacete,199110,29203
2023,Ciudad Real,88613,12510
2023,Cuenca,50769,4978
2023,Guadalajara,316309,48112
2023,Toledo,103410,13652
2023,Barcelona,2667478,201775
2023,Girona,322988,22706
2023,Lleida,184539,12560
2023,Tarragona,368024,38039
2023,Alacant,391461,53492
2023,Castello,235851,32076
2023,Valencia,677702,34410
2023,Badajoz,198566,8643
2023,Caceres,186271,9080
2023,A Coruña,573124,27539
2023,Lugo,3608673,507915
2023,Ourense,341844,19491
2023,Pontevedra,169107,6573
2023,Madrid,376621,7877
2023,Murcia,609693,16069
2023,Navarra,747797,163500
2023,Araba,174663,17056
2023,Bizkaia,899192,146133
2023,Gipuzkoa,307930,49074
2023,La Rioja,1437161,219388
2023,Ceuta,33321,7752
2023,Melilla,27349,4359
