Provincia;Any - Trimestre;Percentatge
Almeria;2021T1;17,53
Almeria;2020T4;21,15
Almeria;2020T3;26,55
Almeria;2020T2;20,21
Almeria;2020T1;19,71
Almeria;2019T4;18,53
Almeria;2019T3;19,75
Almeria;2019T2;16,12
Almeria;2019T1;16,06
Almeria;2018T4;18,77
Almeria;2018T3;25,53
Almeria;2018T2;22,52
Almeria;2018T1;23,49
Almeria;2017T4;25,43
Almeria;2017T3;27,65
Almeria;2017T2;23,03
Almeria;2017T1;21,37
Almeria;2016T4;24,84
Almeria;2016T3;22,65
Almeria;2016T2;22,45
Almeria;2016T1;24,39
Almeria;2015T4;25,13
Almeria;2015T3;31,08
Almeria;2015T2;29,09
Almeria;2015T1;30,66
Almeria;2014T4;35,7
Almeria;2014T3;37,53
Almeria;2014T2;35,81
Almeria;2014T1;33,35
Almeria;2013T4;35,69
Almeria;2013T3;38,16
Almeria;2013T2;34,5
Almeria;2013T1;35,87
Almeria;2012T4;35,19
Almeria;2012T3;37,61
Almeria;2012T2;34,44
Almeria;2012T1;34,02
Almeria;2011T4;32,74
Almeria;2011T3;34,91
Almeria;2011T2;34,84
Almeria;2011T1;31,53
Almeria;2010T4;26,53
Almeria;2010T3;27,23
Almeria;2010T2;30,14
Almeria;2010T1;28,15
Almeria;2009T4;24,57
Almeria;2009T3;30,09
Almeria;2009T2;26,95
Almeria;2009T1;24,68
Almeria;2008T4;24,22
Almeria;2008T3;21,58
Almeria;2008T2;17,55
Almeria;2008T1;14,22
Almeria;2007T4;10,78
Almeria;2007T3;12,15
Almeria;2007T2;10,01
Almeria;2007T1;12,84
Almeria;2006T4;9,26
Almeria;2006T3;10,17
Almeria;2006T2;9,15
Almeria;2006T1;8,48
Almeria;2005T4;9,83
Almeria;2005T3;8,46
Almeria;2005T2;9,73
Almeria;2005T1;8,78
Almeria;2004T4;9,86
Almeria;2004T3;13,58
Almeria;2004T2;8,58
Almeria;2004T1;7,15
Almeria;2003T4;11,68
Almeria;2003T3;14,24
Almeria;2003T2;8,03
Almeria;2003T1;11,23
Almeria;2002T4;10,26
Almeria;2002T3;14,24
Almeria;2002T2;7,69
Almeria;2002T1;10,94
Araba;2024T4;7,79
Araba;2024T3;9,4
Araba;2024T2;8,28
Araba;2024T1;8,8
Araba;2023T4;5,26
Araba;2023T3;9,7
Araba;2023T2;7,18
Araba;2023T1;6,67
Araba;2022T4;7,87
Araba;2022T3;9,01
Araba;2022T2;9,67
Araba;2022T1;10,21
Araba;2021T4;9,48
Araba;2021T3;12,3
Araba;2021T2;10,92
Araba;2021T1;12,76
Araba;2020T4;9,99
Araba;2020T3;8,04
Araba;2020T2;7,81
Araba;2020T1;5,59
Araba;2019T4;7,31
Araba;2019T3;10,23
Araba;2019T2;8,04
Araba;2019T1;7,54
Araba;2018T4;7,39
Araba;2018T3;7,99
Araba;2018T2;10,53
Araba;2018T1;10,54
Araba;2017T4;9,04
Araba;2017T3;10,95
Araba;2017T2;13,05
Araba;2017T1;12,03
Araba;2016T4;11,97
Araba;2016T3;12,16
Araba;2016T2;13,11
Araba;2016T1;10,71
Araba;2015T4;12,21
Araba;2015T3;13,33
Araba;2015T2;15,54
Araba;2015T1;18,97
Araba;2014T4;16,64
Araba;2014T3;16,32
Araba;2014T2;16,77
Araba;2014T1;19,06
Araba;2013T4;18,75
Araba;2013T3;17,06
Araba;2013T2;16,81
Araba;2013T1;17,43
Araba;2012T4;19,47
Araba;2012T3;14,96
Araba;2012T2;15,54
Araba;2012T1;16,32
Araba;2011T4;11,73
Araba;2011T3;10,25
Araba;2011T2;9,04
Araba;2011T1;11,98
Araba;2010T4;11,14
Araba;2010T3;9,6
Araba;2010T2;10,92
Araba;2010T1;13,7
Araba;2009T4;14,74
Araba;2009T3;12,91
Araba;2009T2;9,42
Araba;2009T1;9,9
Araba;2008T4;7,79
Araba;2008T3;4,38
Araba;2008T2;4,5
Araba;2008T1;3,27
Araba;2007T4;4,55
Araba;2007T3;5,05
Araba;2007T2;5,22
Araba;2007T1;6,94
Araba;2006T4;6,15
Araba;2006T3;6,87
Araba;2006T2;7,43
Araba;2006T1;8,71
Araba;2005T4;6,46
Araba;2005T3;8,68
Araba;2005T2;5,5
Araba;2005T1;7,99
