outcome,N,poisson_dispersion,alpha_used_in_NB,preferred,IRR_vote_Poisson,CI_lo_Poisson,CI_hi_Poisson,p_Poisson,IRR_vote_NB,CI_lo_NB,CI_hi_NB,p_NB
denuncies,1092,3164.6098780159905,3163.6098780159905,NB,1.000002232546625,0.9999971475748405,1.0000073175442663,0.38949539621196894,1.000003547795326,0.9999971493902962,1.0000099462412952,0.277133336384497
ordres,1092,930.2116996123007,929.2116996123007,NB,1.0000020058319015,0.9999986109613712,1.0000054007139567,0.24684387557595966,1.000003867872194,0.9999985734576857,1.0000091623147336,0.1521750395150249
feminicidis,1092,1.1384086638684872,0.13840866386848716,Poisson,1.0000026448916133,0.9999999778371749,1.0000053119531647,0.05193010984093349,1.000002295845702,0.9999995359375587,1.0000050557614621,0.10300915641406
