province,total_votes,votes_edreta,year,source_file
Almeria,312923,493,2011,Vots extrema dreta 2011.xlsx
Cadiz,620252,0,2011,Vots extrema dreta 2011.xlsx
Cordoba,468623,502,2011,Vots extrema dreta 2011.xlsx
Granada,508782,0,2011,Vots extrema dreta 2011.xlsx
Huelva,263507,296,2011,Vots extrema dreta 2011.xlsx
Jaen,403443,0,2011,Vots extrema dreta 2011.xlsx
Malaga,720031,0,2011,Vots extrema dreta 2011.xlsx
Sevilla,1060182,1160,2011,Vots extrema dreta 2011.xlsx
Huesca,120570,0,2011,Vots extrema dreta 2011.xlsx
Teruel,77229,0,2011,Vots extrema dreta 2011.xlsx
Zaragoza,513893,0,2011,Vots extrema dreta 2011.xlsx
Asturias,632436,0,2011,Vots extrema dreta 2011.xlsx
Illes Balears,438272,0,2011,Vots extrema dreta 2011.xlsx
Las Palmas,472088,0,2011,Vots extrema dreta 2011.xlsx
Santa Cruz de Tenerife,457822,0,2011,Vots extrema dreta 2011.xlsx
Cantabria,351249,0,2011,Vots extrema dreta 2011.xlsx
Avila,232322,0,2011,Vots extrema dreta 2011.xlsx
Burgos,298341,0,2011,Vots extrema dreta 2011.xlsx
Leon,125092,0,2011,Vots extrema dreta 2011.xlsx
Palencia,132154,471,2011,Vots extrema dreta 2011.xlsx
Salamanca,384943,0,2011,Vots extrema dreta 2011.xlsx
Segovia,105976,233,2011,Vots extrema dreta 2011.xlsx
Soria,214093,0,2011,Vots extrema dreta 2011.xlsx
Valladolid,293290,0,2011,Vots extrema dreta 2011.xlsx
Zamora,106547,234,2011,Vots extrema dreta 2011.xlsx
Albacete,214666,0,2011,Vots extrema dreta 2011.xlsx
Ciudad Real,92489,247,2011,Vots extrema dreta 2011.xlsx
Cuenca,51091,181,2011,Vots extrema dreta 2011.xlsx
Guadalajara,326333,948,2011,Vots extrema dreta 2011.xlsx
Toledo,118122,0,2011,Vots extrema dreta 2011.xlsx
Barcelona,2615465,53142,2011,Vots extrema dreta 2011.xlsx
Girona,306248,2636,2011,Vots extrema dreta 2011.xlsx
Lleida,192439,1074,2011,Vots extrema dreta 2011.xlsx
Tarragona,346708,3097,2011,Vots extrema dreta 2011.xlsx
Alacant,408842,0,2011,Vots extrema dreta 2011.xlsx
Castello,253990,0,2011,Vots extrema dreta 2011.xlsx
Valencia,666317,0,2011,Vots extrema dreta 2011.xlsx
Badajoz,216435,0,2011,Vots extrema dreta 2011.xlsx
Caceres,204286,0,2011,Vots extrema dreta 2011.xlsx
A Coruña,558779,0,2011,Vots extrema dreta 2011.xlsx
Lugo,3373805,0,2011,Vots extrema dreta 2011.xlsx
Ourense,331085,0,2011,Vots extrema dreta 2011.xlsx
Pontevedra,169425,0,2011,Vots extrema dreta 2011.xlsx
Madrid,373967,0,2011,Vots extrema dreta 2011.xlsx
Murcia,639880,0,2011,Vots extrema dreta 2011.xlsx
Navarra,734686,0,2011,Vots extrema dreta 2011.xlsx
Araba,173910,0,2011,Vots extrema dreta 2011.xlsx
Bizkaia,887427,0,2011,Vots extrema dreta 2011.xlsx
Gipuzkoa,296515,3687,2011,Vots extrema dreta 2011.xlsx
La Rioja,1423386,5579,2011,Vots extrema dreta 2011.xlsx
Ceuta,31804,0,2011,Vots extrema dreta 2011.xlsx
Melilla,26726,0,2011,Vots extrema dreta 2011.xlsx
