province,total_votes,votes_edreta,year,source_file
Almeria,305836,609,2004,Vots extrema dreta 2004.xlsx
Cadiz,643639,1848,2004,Vots extrema dreta 2004.xlsx
Cordoba,493991,943,2004,Vots extrema dreta 2004.xlsx
Granada,522422,1145,2004,Vots extrema dreta 2004.xlsx
Huelva,275121,368,2004,Vots extrema dreta 2004.xlsx
Jaen,420132,703,2004,Vots extrema dreta 2004.xlsx
Malaga,738976,2278,2004,Vots extrema dreta 2004.xlsx
Sevilla,1097156,2239,2004,Vots extrema dreta 2004.xlsx
Huesca,134687,406,2004,Vots extrema dreta 2004.xlsx
Teruel,87982,160,2004,Vots extrema dreta 2004.xlsx
Zaragoza,558332,1463,2004,Vots extrema dreta 2004.xlsx
Asturias,703655,867,2004,Vots extrema dreta 2004.xlsx
Illes Balears,470119,824,2004,Vots extrema dreta 2004.xlsx
Las Palmas,495137,1063,2004,Vots extrema dreta 2004.xlsx
Santa Cruz de Tenerife,471709,752,2004,Vots extrema dreta 2004.xlsx
Cantabria,366826,720,2004,Vots extrema dreta 2004.xlsx
Avila,235023,831,2004,Vots extrema dreta 2004.xlsx
Burgos,306041,463,2004,Vots extrema dreta 2004.xlsx
Leon,133760,332,2004,Vots extrema dreta 2004.xlsx
Palencia,119964,495,2004,Vots extrema dreta 2004.xlsx
Salamanca,360904,1356,2004,Vots extrema dreta 2004.xlsx
Segovia,113582,301,2004,Vots extrema dreta 2004.xlsx
Soria,235597,680,2004,Vots extrema dreta 2004.xlsx
Valladolid,335135,653,2004,Vots extrema dreta 2004.xlsx
Zamora,120307,364,2004,Vots extrema dreta 2004.xlsx
Albacete,237653,622,2004,Vots extrema dreta 2004.xlsx
Ciudad Real,100096,389,2004,Vots extrema dreta 2004.xlsx
Cuenca,57459,131,2004,Vots extrema dreta 2004.xlsx
Guadalajara,348402,1059,2004,Vots extrema dreta 2004.xlsx
Toledo,134626,353,2004,Vots extrema dreta 2004.xlsx
Barcelona,3043835,4973,2004,Vots extrema dreta 2004.xlsx
Girona,357642,577,2004,Vots extrema dreta 2004.xlsx
Lleida,233283,297,2004,Vots extrema dreta 2004.xlsx
Tarragona,385013,661,2004,Vots extrema dreta 2004.xlsx
Alacant,424220,709,2004,Vots extrema dreta 2004.xlsx
Castello,272426,504,2004,Vots extrema dreta 2004.xlsx
Valencia,738681,915,2004,Vots extrema dreta 2004.xlsx
Badajoz,249434,301,2004,Vots extrema dreta 2004.xlsx
Caceres,239953,228,2004,Vots extrema dreta 2004.xlsx
A Coruña,607616,926,2004,Vots extrema dreta 2004.xlsx
Lugo,3501778,13903,2004,Vots extrema dreta 2004.xlsx
Ourense,339508,1545,2004,Vots extrema dreta 2004.xlsx
Pontevedra,182340,230,2004,Vots extrema dreta 2004.xlsx
Madrid,372792,534,2004,Vots extrema dreta 2004.xlsx
Murcia,693185,629,2004,Vots extrema dreta 2004.xlsx
Navarra,720775,1857,2004,Vots extrema dreta 2004.xlsx
Araba,185099,711,2004,Vots extrema dreta 2004.xlsx
Bizkaia,889522,3201,2004,Vots extrema dreta 2004.xlsx
Gipuzkoa,312174,1793,2004,Vots extrema dreta 2004.xlsx
La Rioja,1454856,5904,2004,Vots extrema dreta 2004.xlsx
Ceuta,35691,178,2004,Vots extrema dreta 2004.xlsx
Melilla,27207,98,2004,Vots extrema dreta 2004.xlsx
