province,total_votes,votes_edreta,year,source_file
Almeria,325846,543,2008,Vots extrema dreta 2008.xlsx
Cadiz,643308,1895,2008,Vots extrema dreta 2008.xlsx
Cordoba,484711,1120,2008,Vots extrema dreta 2008.xlsx
Granada,530323,1115,2008,Vots extrema dreta 2008.xlsx
Huelva,268531,614,2008,Vots extrema dreta 2008.xlsx
Jaen,414606,615,2008,Vots extrema dreta 2008.xlsx
Malaga,764320,2112,2008,Vots extrema dreta 2008.xlsx
Sevilla,1078542,1534,2008,Vots extrema dreta 2008.xlsx
Huesca,132255,344,2008,Vots extrema dreta 2008.xlsx
Teruel,86786,174,2008,Vots extrema dreta 2008.xlsx
Zaragoza,548439,1351,2008,Vots extrema dreta 2008.xlsx
Asturias,695735,1343,2008,Vots extrema dreta 2008.xlsx
Illes Balears,473583,1138,2008,Vots extrema dreta 2008.xlsx
Las Palmas,506456,900,2008,Vots extrema dreta 2008.xlsx
Santa Cruz de Tenerife,492231,843,2008,Vots extrema dreta 2008.xlsx
Cantabria,369806,891,2008,Vots extrema dreta 2008.xlsx
Avila,239809,597,2008,Vots extrema dreta 2008.xlsx
Burgos,310525,445,2008,Vots extrema dreta 2008.xlsx
Leon,132989,215,2008,Vots extrema dreta 2008.xlsx
Palencia,133598,460,2008,Vots extrema dreta 2008.xlsx
Salamanca,392630,885,2008,Vots extrema dreta 2008.xlsx
Segovia,114835,274,2008,Vots extrema dreta 2008.xlsx
Soria,232851,750,2008,Vots extrema dreta 2008.xlsx
Valladolid,332078,681,2008,Vots extrema dreta 2008.xlsx
Zamora,117964,253,2008,Vots extrema dreta 2008.xlsx
Albacete,236394,520,2008,Vots extrema dreta 2008.xlsx
Ciudad Real,99937,286,2008,Vots extrema dreta 2008.xlsx
Cuenca,56033,166,2008,Vots extrema dreta 2008.xlsx
Guadalajara,349226,785,2008,Vots extrema dreta 2008.xlsx
Toledo,132771,208,2008,Vots extrema dreta 2008.xlsx
Barcelona,2799228,5626,2008,Vots extrema dreta 2008.xlsx
Girona,333881,717,2008,Vots extrema dreta 2008.xlsx
Lleida,213528,473,2008,Vots extrema dreta 2008.xlsx
Tarragona,376784,842,2008,Vots extrema dreta 2008.xlsx
Alacant,427515,626,2008,Vots extrema dreta 2008.xlsx
Castello,271965,425,2008,Vots extrema dreta 2008.xlsx
Valencia,742231,1044,2008,Vots extrema dreta 2008.xlsx
Badajoz,247770,427,2008,Vots extrema dreta 2008.xlsx
Caceres,241986,355,2008,Vots extrema dreta 2008.xlsx
A Coruña,614501,1128,2008,Vots extrema dreta 2008.xlsx
Lugo,3532381,11915,2008,Vots extrema dreta 2008.xlsx
Ourense,339230,735,2008,Vots extrema dreta 2008.xlsx
Pontevedra,170589,175,2008,Vots extrema dreta 2008.xlsx
Madrid,327815,701,2008,Vots extrema dreta 2008.xlsx
Murcia,630917,1199,2008,Vots extrema dreta 2008.xlsx
Navarra,766510,1674,2008,Vots extrema dreta 2008.xlsx
Araba,188033,341,2008,Vots extrema dreta 2008.xlsx
Bizkaia,934313,2367,2008,Vots extrema dreta 2008.xlsx
Gipuzkoa,317596,1787,2008,Vots extrema dreta 2008.xlsx
La Rioja,1492553,4464,2008,Vots extrema dreta 2008.xlsx
Ceuta,36364,76,2008,Vots extrema dreta 2008.xlsx
Melilla,32055,44,2008,Vots extrema dreta 2008.xlsx
