province,total_votes,votes_edreta,year,source_file
Almeria,328097,62648,2019,Vots extrema dreta 2019.xlsx
Cadiz,667562,87438,2019,Vots extrema dreta 2019.xlsx
Cordoba,473716,56919,2019,Vots extrema dreta 2019.xlsx
Granada,523843,73914,2019,Vots extrema dreta 2019.xlsx
Huelva,264569,33920,2019,Vots extrema dreta 2019.xlsx
Jaen,386916,46934,2019,Vots extrema dreta 2019.xlsx
Malaga,816868,114199,2019,Vots extrema dreta 2019.xlsx
Sevilla,1122507,136949,2019,Vots extrema dreta 2019.xlsx
Huesca,125314,13389,2019,Vots extrema dreta 2019.xlsx
Teruel,78083,8336,2019,Vots extrema dreta 2019.xlsx
Zaragoza,554407,70663,2019,Vots extrema dreta 2019.xlsx
Asturias,626661,72018,2019,Vots extrema dreta 2019.xlsx
Illes Balears,518507,58567,2019,Vots extrema dreta 2019.xlsx
Las Palmas,545052,38229,2019,Vots extrema dreta 2019.xlsx
Santa Cruz de Tenerife,516484,31385,2019,Vots extrema dreta 2019.xlsx
Cantabria,359104,40139,2019,Vots extrema dreta 2019.xlsx
Avila,234404,33948,2019,Vots extrema dreta 2019.xlsx
Burgos,293907,40313,2019,Vots extrema dreta 2019.xlsx
Leon,119530,16755,2019,Vots extrema dreta 2019.xlsx
Palencia,142707,23501,2019,Vots extrema dreta 2019.xlsx
Salamanca,396910,66927,2019,Vots extrema dreta 2019.xlsx
Segovia,102079,14719,2019,Vots extrema dreta 2019.xlsx
Soria,219553,24382,2019,Vots extrema dreta 2019.xlsx
Valladolid,291600,33653,2019,Vots extrema dreta 2019.xlsx
Zamora,106043,12506,2019,Vots extrema dreta 2019.xlsx
Albacete,210646,26631,2019,Vots extrema dreta 2019.xlsx
Ciudad Real,92508,11468,2019,Vots extrema dreta 2019.xlsx
Cuenca,52077,4866,2019,Vots extrema dreta 2019.xlsx
Guadalajara,336554,46194,2019,Vots extrema dreta 2019.xlsx
Toledo,110645,12887,2019,Vots extrema dreta 2019.xlsx
Barcelona,3120441,112019,2019,Vots extrema dreta 2019.xlsx
Girona,382275,10715,2019,Vots extrema dreta 2019.xlsx
Lleida,225655,6005,2019,Vots extrema dreta 2019.xlsx
Tarragona,418192,20105,2019,Vots extrema dreta 2019.xlsx
Alacant,408393,44890,2019,Vots extrema dreta 2019.xlsx
Castello,248732,25903,2019,Vots extrema dreta 2019.xlsx
Valencia,677342,38187,2019,Vots extrema dreta 2019.xlsx
Badajoz,199998,11450,2019,Vots extrema dreta 2019.xlsx
Caceres,192523,9984,2019,Vots extrema dreta 2019.xlsx
A Coruña,576187,27426,2019,Vots extrema dreta 2019.xlsx
Lugo,3782247,524176,2019,Vots extrema dreta 2019.xlsx
Ourense,366998,17771,2019,Vots extrema dreta 2019.xlsx
Pontevedra,177366,5608,2019,Vots extrema dreta 2019.xlsx
Madrid,412126,6783,2019,Vots extrema dreta 2019.xlsx
Murcia,686960,15839,2019,Vots extrema dreta 2019.xlsx
Navarra,769084,143234,2019,Vots extrema dreta 2019.xlsx
Araba,180832,16255,2019,Vots extrema dreta 2019.xlsx
Bizkaia,917498,115249,2019,Vots extrema dreta 2019.xlsx
Gipuzkoa,313393,37773,2019,Vots extrema dreta 2019.xlsx
La Rioja,1456527,170070,2019,Vots extrema dreta 2019.xlsx
Ceuta,37991,9092,2019,Vots extrema dreta 2019.xlsx
Melilla,33758,5807,2019,Vots extrema dreta 2019.xlsx
