province,total_votes,votes_edreta,year,source_file
Almeria,321242,68364,2023,Vots extrema dreta 2023.xlsx
Cadiz,637098,96720,2023,Vots extrema dreta 2023.xlsx
Cordoba,448602,62526,2023,Vots extrema dreta 2023.xlsx
Granada,502845,81080,2023,Vots extrema dreta 2023.xlsx
Huelva,256804,37572,2023,Vots extrema dreta 2023.xlsx
Jaen,368731,54400,2023,Vots extrema dreta 2023.xlsx
Malaga,788338,129758,2023,Vots extrema dreta 2023.xlsx
Sevilla,1059358,141768,2023,Vots extrema dreta 2023.xlsx
Huesca,119895,15155,2023,Vots extrema dreta 2023.xlsx
Teruel,75913,9932,2023,Vots extrema dreta 2023.xlsx
Zaragoza,518705,79648,2023,Vots extrema dreta 2023.xlsx
Asturias,597032,74571,2023,Vots extrema dreta 2023.xlsx
Illes Balears,503280,76547,2023,Vots extrema dreta 2023.xlsx
Las Palmas,529337,77343,2023,Vots extrema dreta 2023.xlsx
Santa Cruz de Tenerife,494373,0,2023,Vots extrema dreta 2023.xlsx
Cantabria,350150,49243,2023,Vots extrema dreta 2023.xlsx
Avila,221191,36750,2023,Vots extrema dreta 2023.xlsx
Burgos,282979,46046,2023,Vots extrema dreta 2023.xlsx
Leon,113808,17700,2023,Vots extrema dreta 2023.xlsx
Palencia,140913,27244,2023,Vots extrema dreta 2023.xlsx
Salamanca,387200,76325,2023,Vots extrema dreta 2023.xlsx
Segovia,97956,15145,2023,Vots extrema dreta 2023.xlsx
Soria,202569,25858,2023,Vots extrema dreta 2023.xlsx
Valladolid,275240,35451,2023,Vots extrema dreta 2023.xlsx
Zamora,96962,12575,2023,Vots extrema dreta 2023.xlsx
Albacete,199110,29203,2023,Vots extrema dreta 2023.xlsx
Ciudad Real,88613,12510,2023,Vots extrema dreta 2023.xlsx
Cuenca,50769,4978,2023,Vots extrema dreta 2023.xlsx
Guadalajara,316309,48112,2023,Vots extrema dreta 2023.xlsx
Toledo,103410,13652,2023,Vots extrema dreta 2023.xlsx
Barcelona,2667478,201775,2023,Vots extrema dreta 2023.xlsx
Girona,322988,22706,2023,Vots extrema dreta 2023.xlsx
Lleida,184539,12560,2023,Vots extrema dreta 2023.xlsx
Tarragona,368024,38039,2023,Vots extrema dreta 2023.xlsx
Alacant,391461,53492,2023,Vots extrema dreta 2023.xlsx
Castello,235851,32076,2023,Vots extrema dreta 2023.xlsx
Valencia,677702,34410,2023,Vots extrema dreta 2023.xlsx
Badajoz,198566,8643,2023,Vots extrema dreta 2023.xlsx
Caceres,186271,9080,2023,Vots extrema dreta 2023.xlsx
A Coruña,573124,27539,2023,Vots extrema dreta 2023.xlsx
Lugo,3608673,507915,2023,Vots extrema dreta 2023.xlsx
Ourense,341844,19491,2023,Vots extrema dreta 2023.xlsx
Pontevedra,169107,6573,2023,Vots extrema dreta 2023.xlsx
Madrid,376621,7877,2023,Vots extrema dreta 2023.xlsx
Murcia,609693,16069,2023,Vots extrema dreta 2023.xlsx
Navarra,747797,163500,2023,Vots extrema dreta 2023.xlsx
Araba,174663,17056,2023,Vots extrema dreta 2023.xlsx
Bizkaia,899192,146133,2023,Vots extrema dreta 2023.xlsx
Gipuzkoa,307930,49074,2023,Vots extrema dreta 2023.xlsx
La Rioja,1437161,219388,2023,Vots extrema dreta 2023.xlsx
Ceuta,33321,7752,2023,Vots extrema dreta 2023.xlsx
Melilla,27349,4359,2023,Vots extrema dreta 2023.xlsx
