province,total_votes,votes_edreta,year,source_file
Almeria,278462,487,2000,Vots extrema dreta 2000.xlsx
Cadiz,553667,1001,2000,Vots extrema dreta 2000.xlsx
Cordoba,461695,419,2000,Vots extrema dreta 2000.xlsx
Granada,480242,378,2000,Vots extrema dreta 2000.xlsx
Huelva,245452,311,2000,Vots extrema dreta 2000.xlsx
Jaen,399949,397,2000,Vots extrema dreta 2000.xlsx
Malaga,649285,722,2000,Vots extrema dreta 2000.xlsx
Sevilla,971500,1460,2000,Vots extrema dreta 2000.xlsx
Huesca,125449,0,2000,Vots extrema dreta 2000.xlsx
Teruel,84252,113,2000,Vots extrema dreta 2000.xlsx
Zaragoza,513159,658,2000,Vots extrema dreta 2000.xlsx
Asturias,653234,1075,2000,Vots extrema dreta 2000.xlsx
Illes Balears,397898,623,2000,Vots extrema dreta 2000.xlsx
Las Palmas,438656,478,2000,Vots extrema dreta 2000.xlsx
Santa Cruz de Tenerife,401158,331,2000,Vots extrema dreta 2000.xlsx
Cantabria,333268,670,2000,Vots extrema dreta 2000.xlsx
Avila,221539,382,2000,Vots extrema dreta 2000.xlsx
Burgos,291799,425,2000,Vots extrema dreta 2000.xlsx
Leon,130621,147,2000,Vots extrema dreta 2000.xlsx
Palencia,102782,145,2000,Vots extrema dreta 2000.xlsx
Salamanca,328830,495,2000,Vots extrema dreta 2000.xlsx
Segovia,107278,255,2000,Vots extrema dreta 2000.xlsx
Soria,221883,395,2000,Vots extrema dreta 2000.xlsx
Valladolid,312334,239,2000,Vots extrema dreta 2000.xlsx
Zamora,115613,242,2000,Vots extrema dreta 2000.xlsx
Albacete,222748,370,2000,Vots extrema dreta 2000.xlsx
Ciudad Real,94584,183,2000,Vots extrema dreta 2000.xlsx
Cuenca,54526,93,2000,Vots extrema dreta 2000.xlsx
Guadalajara,317600,618,2000,Vots extrema dreta 2000.xlsx
Toledo,127935,221,2000,Vots extrema dreta 2000.xlsx
Barcelona,2561508,2975,2000,Vots extrema dreta 2000.xlsx
Girona,295047,273,2000,Vots extrema dreta 2000.xlsx
Lleida,200563,200,2000,Vots extrema dreta 2000.xlsx
Tarragona,314154,314,2000,Vots extrema dreta 2000.xlsx
Alacant,398429,485,2000,Vots extrema dreta 2000.xlsx
Castello,258719,304,2000,Vots extrema dreta 2000.xlsx
Valencia,655387,698,2000,Vots extrema dreta 2000.xlsx
Badajoz,231462,299,2000,Vots extrema dreta 2000.xlsx
Caceres,224738,379,2000,Vots extrema dreta 2000.xlsx
A Coruña,533458,775,2000,Vots extrema dreta 2000.xlsx
Lugo,3095467,4197,2000,Vots extrema dreta 2000.xlsx
Ourense,302686,875,2000,Vots extrema dreta 2000.xlsx
Pontevedra,169488,205,2000,Vots extrema dreta 2000.xlsx
Madrid,323825,293,2000,Vots extrema dreta 2000.xlsx
Murcia,650387,668,2000,Vots extrema dreta 2000.xlsx
Navarra,670684,987,2000,Vots extrema dreta 2000.xlsx
Araba,169695,150,2000,Vots extrema dreta 2000.xlsx
Bizkaia,804968,1861,2000,Vots extrema dreta 2000.xlsx
Gipuzkoa,283425,360,2000,Vots extrema dreta 2000.xlsx
La Rioja,1343042,1857,2000,Vots extrema dreta 2000.xlsx
Ceuta,30501,93,2000,Vots extrema dreta 2000.xlsx
Melilla,26259,86,2000,Vots extrema dreta 2000.xlsx
